手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
SHARP AQUOS V,4500,,2019/11,7,Snapdragon 835,4 GB,64 GB,microSD,256 GB,3090 mAh,5.9 inch,2160x1080 pixels,409 ppi,IPS,1300 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/sharp_aquos_v/15144
SHARP AQUOS zero,8500,,2019/01,17,Snapdragon 845,6 GB,128 GB,,,3130 mAh,6.2 inch,2992x1440 pixels,536 ppi,OLED,2260 萬畫素,1.9,146 g,IP68,,https://www.sogi.com.tw/products/sharp_aqous_zero/14252
SHARP AQUOS Zero 2,21990,,2020/05,1,Snapdragon 855,8 GB,256 GB,,,3130 mAh,6.4 inch,2340x1080 pixels,403 ppi,OLED,1200 萬畫素,1.7,141 g,IP68,,https://www.sogi.com.tw/products/sharp_aquos_zero_2/15193
SHARP AQUOS R3,16990,18500.0,2019/08,10,Snapdragon 855,6 GB,128 GB,microSD,512 GB,3200 mAh,6.2 inch,3120x1440 pixels,554 ppi,Pro IGZO,1220 萬畫素,1.7,185 g,IP68,Yes,https://www.sogi.com.tw/products/sharp_aquos_r3/14811
