手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Sony Xperia 10 II,9700,9200.0,2020/05,1,Snapdragon 665,4 GB,128 GB,microSD,1 TB,3600 mAh,6 inch,2520x1080 pixels,457 ppi,OLED,1200 萬畫素,2.0,151 g,IP68,Yes,https://www.sogi.com.tw/products/sony_xperia_10_mark_two/15311
Sony Xperia 1 II,34500,,2020/06,0,Snapdragon 865,8 GB,256 GB,microSD,1 TB,4000 mAh,6.5 inch,3840x1644 pixels,643 ppi,OLED,1200 萬畫素,1.7,181 g,IP68,Yes,https://www.sogi.com.tw/products/sony_xperia_1_mark_two/15310
Sony Xperia 5,18600,,2019/10,8,Snapdragon 855,6 GB,128 GB,microSD,512 GB,3140 mAh,6.1 inch,2520x1080 pixels,449 ppi,OLED,1200 萬畫素,1.6,164 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_5/15128
Sony Xperia 1,21000,,2019/06,12,Snapdragon 855,6 GB,128 GB,microSD,512 GB,3330 mAh,6.5 inch,3840x1644 pixels,643 ppi,OLED,1200 萬畫素,1.6,178 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_1/14608
Sony Xperia XZ3,14600,,2018/10,20,Snapdragon 845,6 GB,64 GB,microSD,512 GB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1900 萬畫素,2.0,193 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_xz3/14113
Sony Xperia L3,3900,,2019/03,15,MT6762,3 GB,32 GB,microSD,512 GB,3300 mAh,5.7 inch,1440x720 pixels,282 ppi,TFT,1300 萬畫素,2.2,156 g,,Yes,https://www.sogi.com.tw/products/sony_xperia_l3/14609
