手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Google Pixel 4 XL 128GB,27400,,2019/10,8,Snapdragon 855,6 GB,128 GB,,,3700 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.7,193 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4_xl/15208
Google Pixel 4 64GB,20600,,2019/10,8,Snapdragon 855,6 GB,64 GB,,,2800 mAh,5.7 inch,2220x1080 pixels,433 ppi,OLED,1220 萬畫素,1.7,162 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4/15205
Google Pixel 3 64GB,27700,,2018/11,19,Snapdragon 845,4 GB,64 GB,,,2915 mAh,5.5 inch,2160x1080 pixels,439 ppi,OLED,1220 萬畫素,1.8,148 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3/14282
Google Pixel 3 XL 128GB,34100,,2018/11,19,Snapdragon 845,4 GB,128 GB,,,3430 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.8,184 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3_xl/14276
Google Pixel 4 128GB,23600,,2019/10,8,Snapdragon 855,6 GB,128 GB,,,2800 mAh,5.7 inch,2220x1080 pixels,433 ppi,OLED,1220 萬畫素,1.7,162 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4/15206
Google Pixel 4 XL 64GB,25500,16800.0,2019/10,8,Snapdragon 855,6 GB,64 GB,,,3700 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.7,193 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4_xl/15207
Google Pixel 3 XL 64GB,31100,,2018/11,19,Snapdragon 845,4 GB,64 GB,,,3430 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.8,184 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3_xl/14284
Google Pixel 3 128GB,30700,,2018/11,19,Snapdragon 845,4 GB,128 GB,,,2915 mAh,5.5 inch,2160x1080 pixels,439 ppi,OLED,1220 萬畫素,1.8,148 g,IP68,,https://www.sogi.com.tw/products/google_pixel_3/14283
