手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
HUAWEI Y7s,3300,,2018/05,25.0,Kirin 659,,3 GB,32 GB,microSD,256 GB,3000 mAh,5.65 inch,2160x1080 pixels,427 ppi,LCD,1300 萬畫素,2.2,143 g,,Yes,https://www.sogi.com.tw/products/huawei_y7s/13847
ASUS ZenFone Max Pro 2019 ZB602KL,3450,,2019/08,10.0,Snapdragon 636,22.9,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,,IPS,1300 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_2019/15061
vivo Y12,3450,2900.0,2019/11,7.0,Helio P22,,3 GB,64 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y12/14928
SUGAR T10,3490,,2019/06,12.0,MT6762V,,3 GB,64 GB,microSD,128 GB,4000 mAh,6.26 inch,1520x720 pixels,269 ppi,IPS,1200 萬畫素,2.0,177 g,,Yes,https://www.sogi.com.tw/products/sugar_t10/14866
ASUS ZenFone Max Pro ZB602KL 32GB,3500,,2018/07,23.0,Snapdragon 636,22.9,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/13863
SAMSUNG Galaxy A20,3790,4000.0,2019/04,14.0,Exynos 7884,,3 GB,32 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,1300 萬畫素,1.9,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a20/14683
小米 紅米 Note 8T 32GB,3800,,2019/11,7.0,Snapdragon 665,27.6,3 GB,32 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.79,199.2 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8t/15236
LG Q6,3800,,2017/10,32.0,Snapdragon 435,,3 GB,32 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1300 萬畫素,2.2,160 g,,Yes,https://www.sogi.com.tw/products/lg_q6/13387
LG Q60,3890,3245.0,2019/07,11.0,MT6762,,3 GB,64 GB,microSD,2 TB,3500 mAh,6.26 inch,1520x720 pixels,269 ppi,TFT,1600 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/lg_q60/14578
Sony Xperia L3,3900,,2019/03,15.0,MT6762,,3 GB,32 GB,microSD,512 GB,3300 mAh,5.7 inch,1440x720 pixels,282 ppi,TFT,1300 萬畫素,2.2,156 g,,Yes,https://www.sogi.com.tw/products/sony_xperia_l3/14609
realme C3,3990,,,,Helio G70,,3 GB,64 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,1200 萬畫素,,195 g,,Yes,https://www.sogi.com.tw/products/realme_c3/15423
SAMSUNG Galaxy M11,3990,,2020/05,1.0,Snapdragon 450,,3 GB,32 GB,microSD,512 GB,5000 mAh,6.4 inch,1560x720 pixels,268 ppi,LCD,1300 萬畫素,1.8,197 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_m11/15401
SUGAR Y18,3990,,2020/01,5.0,SC9863A,14.3,3 GB,64 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_y18/15278
HTC EXODUS 1s,3990,,2019/10,8.0,Snapdragon 435,,4 GB,64 GB,microSD,400 GB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,,,Yes,https://www.sogi.com.tw/products/htc_exodus_1s/14818
realme 5 32GB,4050,3500.0,2019/11,7.0,Snapdragon 665,27.6,3 GB,32 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,1200 萬畫素,1.8,198 g,,Yes,https://www.sogi.com.tw/products/realme_5/15059
HTC Desire 12s 64GB,4100,,2019/01,17.0,Snapdragon 435,,4 GB,64 GB,microSD,2 TB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,TFT,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/htc_desire_12s/14424
HTC Desire 19s 32GB,4100,,2019/11,7.0,Helio P22,,3 GB,32 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19s/15243
SUGAR S11,4150,3900.0,2018/02,28.0,Snapdragon 450,,4 GB,64 GB,microSD,128 GB,3000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,1.7,187 g,,Yes,https://www.sogi.com.tw/products/sugar_s11/13711
小米 紅米 Note 8T 64GB,4150,,2019/11,7.0,Snapdragon 665,27.6,4 GB,64 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.79,199.2 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8t/15247
HUAWEI nova 2i,4299,,2017/11,31.0,Kirin 659,,4 GB,64 GB,microSD,256 GB,3340 mAh,5.9 inch,2160x1080 pixels,409 ppi,IPS,1600 萬畫素,2.2,164 g,,Yes,https://www.sogi.com.tw/products/huawei_nova_2i/13528
OPPO AX5s (4GB/64GB),4400,,2019/04,14.0,Helio P35,,4 GB,64 GB,microSD,256 GB,4230 mAh,6.2 inch,1520x720 pixels,271 ppi,IPS,1300 萬畫素,2.2,170 g,,Yes,https://www.sogi.com.tw/products/oppo_ax5s/14729
SUGAR S20,4400,,2018/12,18.0,Snapdragon 450,,4 GB,64 GB,microSD,128 GB,3400 mAh,6.18 inch,2246x1080 pixels,403 ppi,,1200 萬畫素,2.0,159 g,,Yes,https://www.sogi.com.tw/products/sugar_s20/14012
vivo Y95,4400,3900.0,2019/01,17.0,Snapdragon 439,14.8,4 GB,64 GB,microSD,256 GB,4030 mAh,6.22 inch,1520x720 pixels,270 ppi,TFT,1300 萬畫素,2.2,163.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y95/14369
SUGAR Y16,4490,,2019/01,17.0,MT6739WW,,3 GB,32 GB,microSD,128 GB,2900 mAh,5.45 inch,1440x720 pixels,295 ppi,IPS,1300 萬畫素,2.0,150 g,,Yes,https://www.sogi.com.tw/products/sugar_y16/14457
SUGAR T20,4490,,2020/06,0.0,MT6762D,,3 GB,64 GB,microSD,256 GB,4000 mAh,6.52 inch,1600x720 pixels,269 ppi,IPS,1300 萬畫素,2.0,173.7 g,,Yes,https://www.sogi.com.tw/products/sugar_t20/15427
vivo Y17,4490,3700.0,2019/07,11.0,Helio P35,,4 GB,128 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y17/14750
HTC U12 life 64GB,4500,,2018/10,20.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14111
Nokia 5.1 Plus,4500,,2018/09,21.0,Helio P60,,3 GB,32 GB,microSD,400 GB,3060 mAh,5.8 inch,1520x720 pixels,290 ppi,IPS,1300 萬畫素,2.0,165 g,,Yes,https://www.sogi.com.tw/products/nokia_5_1_plus/14080
SHARP AQUOS V,4500,,2019/11,7.0,Snapdragon 835,44.7,4 GB,64 GB,microSD,256 GB,3090 mAh,5.9 inch,2160x1080 pixels,409 ppi,IPS,1300 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/sharp_aquos_v/15144
HTC Desire 19s 64GB,4590,,2020/02,4.0,Helio P22,,4 GB,64 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19s/15286
vivo Y19,4800,,2019/12,6.0,Helio P65,,6 GB,128 GB,microSD,256 GB,5000 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,1600 萬畫素,1.78,193 g,,Yes,https://www.sogi.com.tw/products/vivo_y19/15238
HUAWEI Y9 2019,4820,3950.0,2018/10,20.0,Kirin 710,,4 GB,64 GB,microSD,256 GB,4000 mAh,6.5 inch,2340x1080 pixels,396 ppi,,1300 萬畫素,1.8,173 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_2019/14260
LG Q7+,4890,,2018/08,22.0,MT6750S,,4 GB,64 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1600 萬畫素,2.2,145 g,IP68,Yes,https://www.sogi.com.tw/products/lg_q7_plus/14380
OPPO A5 2020,4890,4000.0,2019/10,8.0,Snapdragon 665,27.6,4 GB,64 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,1200 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a5_2020/15174
OPPO A3,4900,,2018/06,24.0,Helio P60,,4 GB,128 GB,microSD,256 GB,3400 mAh,6.2 inch,2280x1080 pixels,407 ppi,LTPS,1600 萬畫素,1.8,159 g,,Yes,https://www.sogi.com.tw/products/oppo_a3/13860
vivo Y15 2020,4900,4500.0,,,Helio P35,,4 GB,128 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y15_2020/14887
SUGAR T30,4900,,2020/05,1.0,MT6762D,,3 GB,64 GB,microSD,256 GB,5000 mAh,6.52 inch,1600x720 pixels,269 ppi,IPS,1300 萬畫素,2.0,187.5 g,,Yes,https://www.sogi.com.tw/products/sugar_t30/15414
koobee F2,4990,,2018/08,22.0,MT6763,,4 GB,64 GB,microSD,256 GB,3300 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.2,196 g,,Yes,https://www.sogi.com.tw/products/koobee_f2/13979
realme 5 128GB,4990,4750.0,2019/11,7.0,Snapdragon 665,27.6,4 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,1200 萬畫素,1.8,198 g,,Yes,https://www.sogi.com.tw/products/realme_5/15067
koobee F2 Plus,4990,,2018/10,20.0,Helio P23,,4 GB,128 GB,microSD,256 GB,3300 mAh,6.2 inch,2246x1080 pixels,402 ppi,,1600 萬畫素,2.2,168 g,,,https://www.sogi.com.tw/products/koobee_f2_plus/13980
koobee S12,4990,,2018/06,24.0,MT6750,,4 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.2,171.1 g,,Yes,https://www.sogi.com.tw/products/koobee_s12/13917
LG K11+,4999,,2018/11,19.0,MT6750V,,3 GB,32 GB,microSD,2 TB,3000 mAh,5.3 inch,1280x720 pixels,277 ppi,IPS,1300 萬畫素,,163 g,,Yes,https://www.sogi.com.tw/products/lg_k11_plus/14270
LG K51S,5000,,2020/05,1.0,MT6765,,3 GB,64 GB,microSD,2 TB,4000 mAh,6.55 inch,1600x720 pixels,268 ppi,,3200 萬畫素,1.8,192 g,,Yes,https://www.sogi.com.tw/products/lg_k51s/15304
ASUS ZenFone Max M2 ZB633KL 64GB,5200,,2019/05,13.0,Snapdragon 632,,4 GB,64 GB,microSD,2 TB,4000 mAh,6.3 inch,1520x720 pixels,267 ppi,IPS,1300 萬畫素,1.8,160 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_m2/14836
vivo V11,5200,,2018/11,19.0,Helio P60,,6 GB,128 GB,microSD,256 GB,3315 mAh,6.3 inch,2280x1080 pixels,400 ppi,LTPS,1600 萬畫素,2.0,163.7 g,,Yes,https://www.sogi.com.tw/products/vivo_v11/14145
SUGAR T50,5300,,2019/06,12.0,Helio P60,,6 GB,128 GB,microSD,128 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,1200 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/sugar_t50/14865
小米 紅米 Note 7 64GB,5350,4200.0,2019/04,14.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14483
HTC U12 life 128GB,5390,,2018/12,18.0,Snapdragon 636,22.9,6 GB,128 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14112
Nokia 5.3,5500,,2020/05,1.0,Snapdragon 665,27.6,6 GB,64 GB,microSD,512 GB,4000 mAh,6.55 inch,1600x720 pixels,268 ppi,IPS,1300 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_5_3/15358
HTC Desire 19+ 128GB,5700,,2019/07,11.0,Helio P35,,6 GB,128 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19_plus/14907
HUAWEI Y9 Prime 2019,5790,4900.0,2019/09,9.0,Kirin 710,,4 GB,128 GB,microSD,512 GB,4000 mAh,6.59 inch,2340x1080 pixels,391 ppi,LTPS,1600 萬畫素,1.8,196.8 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_prime_2019/14846
