手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Nokia 7 Plus,8900,,2018/04,26.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,3800 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1300 萬畫素,2.6,,,Yes,https://www.sogi.com.tw/products/nokia_7_plus/13760
LG V30+,14880,,2017/12,30.0,Snapdragon 835,44.7,4 GB,128 GB,microSD,2 TB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1600 萬畫素,1.6,158 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v30_plus/13469
HUAWEI Mate 10 Pro,13349,,2017/11,31.0,Kirin 970,40.1,6 GB,128 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,1.6,178 g,IP67,,https://www.sogi.com.tw/products/huawei_mate_10_pro/13566
HUAWEI Mate 10,14300,,2017/11,31.0,Kirin 970,40.1,4 GB,64 GB,microSD,256 GB,4000 mAh,5.9 inch,2560x1440 pixels,498 ppi,LCD,2000 萬畫素,1.6,186 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate_10/13567
Nokia 8,9400,,2017/10,32.0,Snapdragon 835,44.7,4 GB,64 GB,microSD,256 GB,3090 mAh,5.3 inch,2560x1440 pixels,554 ppi,IPS,1300 萬畫素,2.0,160 g,IP54,Yes,https://www.sogi.com.tw/products/nokia_8/13441
Apple iPhone 8 Plus 64GB,16890,10037.0,2017/09,33.0,A11 Bionic,77.2,,64 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/13503
Apple iPhone 8 64GB,14290,7844.0,2017/09,33.0,A11 Bionic,77.2,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/13502
Apple iPhone 8 256GB,17000,9966.0,2017/09,33.0,A11 Bionic,77.2,,256 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/13506
LG G6,9500,8999.0,2017/05,37.0,Snapdragon 821,34.5,4 GB,64 GB,microSD,2 TB,3300 mAh,5.7 inch,2880x1440 pixels,,IPS,1300 萬畫素,1.8,163 g,IP68,Yes,https://www.sogi.com.tw/products/lg_g6/13108
Apple iPhone 7 Plus 32GB,12490,7975.0,2016/09,45.0,A10 Fusion,50.9,,32 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,188 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7_plus/12762
Apple iPhone 7 128GB,11500,6061.0,2016/09,45.0,A10 Fusion,50.9,,128 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,138 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7/12760
Apple iPhone 7 32GB,9990,5124.0,2016/09,45.0,A10 Fusion,50.9,,32 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,138 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7/12759
Apple iPhone 7 Plus 128GB,13890,8250.0,2016/09,45.0,A10 Fusion,50.9,,128 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,188 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7_plus/12763
