手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
ASUS ZenFone Max Pro ZB602KL 32GB,3500,,2018/07,23.0,Snapdragon 636,22.9,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/13863
ASUS ZenFone Max Pro ZB602KL 128GB,5800,,2019/02,16.0,Snapdragon 636,22.9,4 GB,128 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/14542
Nokia 6.1 Plus,6500,,2018/08,22.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,400 GB,3060 mAh,5.8 inch,2280x1080 pixels,435 ppi,,1600 萬畫素,2.0,151 g,,Yes,https://www.sogi.com.tw/products/nokia_6_1_plus/14026
小米 小米 Max 3,6900,,2018/08,22.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,256 GB,5500 mAh,6.9 inch,2160x1080 pixels,350 ppi,,1200 萬畫素,1.9,221 g,,Yes,https://www.sogi.com.tw/products/xiaomi_max_3/14033
HTC U12 life 64GB,4500,,2018/10,20.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14111
HTC U12 life 128GB,5390,,2018/12,18.0,Snapdragon 636,22.9,6 GB,128 GB,microSD,,3600 mAh,6 inch,2160x1080 pixels,402 ppi,,1600 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/htc_u12_life/14112
vivo Y95,4400,3900.0,2019/01,17.0,Snapdragon 439,14.8,4 GB,64 GB,microSD,256 GB,4030 mAh,6.22 inch,1520x720 pixels,270 ppi,TFT,1300 萬畫素,2.2,163.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y95/14369
SUGAR C11s,2899,2100.0,2017/11,31.0,Snapdragon 430,14.4,3 GB,32 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11s/13518
SUGAR C11,2990,,2017/11,31.0,Snapdragon 430,14.4,4 GB,64 GB,microSD,128 GB,3000 mAh,5.7 inch,1440x720 pixels,282 ppi,,1600 萬畫素,2.0,160 g,,Yes,https://www.sogi.com.tw/products/sugar_c11/13582
HUAWEI Y7 Prime 2018,3170,,2018/06,24.0,Snapdragon 430,14.4,3 GB,32 GB,microSD,256 GB,3000 mAh,5.99 inch,1440x720 pixels,269 ppi,IPS,1300 萬畫素,,155 g,,Yes,https://www.sogi.com.tw/products/huawei_y7_prime_2018/13895
SUGAR P11,3200,,2019/08,10.0,SC9863A,14.3,3 GB,32 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_p11/15002
SUGAR Y18,3990,,2020/01,5.0,SC9863A,14.3,3 GB,64 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_y18/15278
