手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
LG G7+ ThinQ,11000,4999.0,2018/07,23.0,Snapdragon 845,63.7,6 GB,128 GB,microSD,2 TB,3000 mAh,6.1 inch,3120x1440 pixels,563 ppi,IPS,1600 萬畫素,1.6,162 g,IP68,Yes,https://www.sogi.com.tw/products/lg_g7_plus_thinq/13888
HTC U12+ 128GB,11100,11000.0,2018/06,24.0,Snapdragon 845,63.7,6 GB,128 GB,microSD,2 TB,3500 mAh,6 inch,2880x1440 pixels,537 ppi,Super LCD 6,1200 萬畫素,1.75,188 g,IP68,,https://www.sogi.com.tw/products/htc_u12_plus/13880
Apple iPhone 7 128GB,11500,6061.0,2016/09,45.0,A10 Fusion,50.9,,128 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,138 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7/12760
LG V30S ThinQ,11800,,2018/05,25.0,Snapdragon 835,44.7,6 GB,128 GB,microSD,2 TB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1600 萬畫素,1.6,158 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v30s_thinq/13739
LG Q7+ BTS Edition,11900,,2018/12,18.0,MT6750S,,4 GB,64 GB,microSD,2 TB,3000 mAh,5.5 inch,2160x1080 pixels,439 ppi,IPS,1600 萬畫素,2.2,145 g,IP68,Yes,https://www.sogi.com.tw/products/lg_q7_plus_bts_edition/14395
Apple iPhone 7 Plus 32GB,12490,7975.0,2016/09,45.0,A10 Fusion,50.9,,32 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,188 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7_plus/12762
Apple iPhone SE (2020) 64GB,12900,11998.0,2020/04,2.0,A13 Bionic,124.1,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15376
ASUS ROG Phone ZS600KL 512GB,12950,10700.0,2018/09,21.0,Snapdragon 845,63.7,8 GB,512 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,AMOLED,1200 萬畫素,1.7,200 g,,Yes,https://www.sogi.com.tw/products/asus_rog_phone/13955
小米 小米 9,13290,,2019/04,14.0,Snapdragon 855,80.4,6 GB,128 GB,,,3300 mAh,6.39 inch,2340x1080 pixels,403 ppi,AMOLED,4800 萬畫素,1.75,173 g,,,https://www.sogi.com.tw/products/xiaomi_9/14560
HUAWEI Mate 10 Pro,13349,,2017/11,31.0,Kirin 970,40.1,6 GB,128 GB,,,4000 mAh,6 inch,2160x1080 pixels,402 ppi,OLED,2000 萬畫素,1.6,178 g,IP67,,https://www.sogi.com.tw/products/huawei_mate_10_pro/13566
