手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
OPPO A5 2020,4890,4000.0,2019/10,8.0,Snapdragon 665,27.6,4 GB,64 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,1200 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a5_2020/15174
Nokia 7.2,7700,,2019/10,8.0,Snapdragon 660,29.3,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,4800 萬畫素,1.79,180 g,,Yes,https://www.sogi.com.tw/products/nokia_7_2/15130
小米 紅米 Note 8 Pro 128GB,7490,,2019/10,8.0,Helio G90T,,6 GB,128 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15104
realme XT,7150,6300.0,2019/10,8.0,Snapdragon 712,,8 GB,128 GB,microSD,256 GB,4000 mAh,6.4 inch,2340x1080 pixels,403 ppi,Super AMOLED,6400 萬畫素,1.8,183 g,,Yes,https://www.sogi.com.tw/products/realme_xt/15176
OPPO A9 2020 (4GB/128GB),6400,,2019/10,8.0,Snapdragon 665,27.6,4 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a9_2020/15151
小米 紅米 Note 8 Pro 64GB,6350,,2019/10,8.0,Helio G90T,,6 GB,64 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15105
HTC EXODUS 1s,3990,,2019/10,8.0,Snapdragon 435,,4 GB,64 GB,microSD,400 GB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,,,Yes,https://www.sogi.com.tw/products/htc_exodus_1s/14818
Nokia 2720 Flip,2790,,2019/10,8.0,Snapdragon 205,,512 MB,4 GB,microSD,32 GB,1500 mAh,2.8 inch,320x240 pixels,143 ppi,,200 萬畫素,,118 g,,Yes,https://www.sogi.com.tw/products/nokia_2720_flip/15135
SAMSUNG Galaxy A30s,5890,5490.0,2019/10,8.0,Exynos 7904,,4 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,2500 萬畫素,1.7,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a30s/15073
HUAWEI Y9 Prime 2019,5790,4900.0,2019/09,9.0,Kirin 710,,4 GB,128 GB,microSD,512 GB,4000 mAh,6.59 inch,2340x1080 pixels,391 ppi,LTPS,1600 萬畫素,1.8,196.8 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_prime_2019/14846
SUGAR P11,3200,,2019/08,10.0,SC9863A,14.3,3 GB,32 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_p11/15002
ASUS ZenFone Max Pro 2019 ZB602KL,3450,,2019/08,10.0,Snapdragon 636,22.9,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,,IPS,1300 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_2019/15061
vivo S1,5990,5400.0,2019/08,10.0,Helio P65,,6 GB,128 GB,microSD,256 GB,4500 mAh,6.38 inch,2340x1080 pixels,404 ppi,Super AMOLED,1600 萬畫素,1.78,179 g,,Yes,https://www.sogi.com.tw/products/vivo_s1/14707
vivo Y17,4490,3700.0,2019/07,11.0,Helio P35,,4 GB,128 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y17/14750
LG Q60,3890,3245.0,2019/07,11.0,MT6762,,3 GB,64 GB,microSD,2 TB,3500 mAh,6.26 inch,1520x720 pixels,269 ppi,TFT,1600 萬畫素,2.0,173 g,,Yes,https://www.sogi.com.tw/products/lg_q60/14578
HTC Desire 19+ 128GB,5700,,2019/07,11.0,Helio P35,,6 GB,128 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19_plus/14907
SUGAR T50,5300,,2019/06,12.0,Helio P60,,6 GB,128 GB,microSD,128 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,1200 萬畫素,2.0,175 g,,Yes,https://www.sogi.com.tw/products/sugar_t50/14865
SUGAR T10,3490,,2019/06,12.0,MT6762V,,3 GB,64 GB,microSD,128 GB,4000 mAh,6.26 inch,1520x720 pixels,269 ppi,IPS,1200 萬畫素,2.0,177 g,,Yes,https://www.sogi.com.tw/products/sugar_t10/14866
OPPO Reno Z,7900,7180.0,2019/06,12.0,Helio P90,,8 GB,128 GB,,,4035 mAh,6.4 inch,2340x1080 pixels,403 ppi,AMOLED,4800 萬畫素,1.7,186 g,,Yes,https://www.sogi.com.tw/products/oppo_reno_z/14891
SAMSUNG Galaxy A60,6800,6433.0,2019/06,12.0,Snapdragon 675,34.5,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2340x1080 pixels,409 ppi,PLS,3200 萬畫素,1.7,168 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a60/14781
