Name,Price,Second-hand,Listing date,Month
koobee S16,2800.0,,2019/05,12
koobee K20,6990.0,,2019/05,12
koobee F2,4990.0,,2018/08,21
koobee K10,6990.0,,2018/10,19
koobee S12,4990.0,,2018/06,23
koobee F2 Plus,4990.0,,2018/10,19
koobee P60 128GB,,,2018/10,19
koobee S209,,,2018/10,19
koobee F1,,,2018/10,19
koobee S15,,,2018/10,19
koobee P60 64GB,,,2018/10,19
